company_key,combo_score,z_combo,z_mom,z_growth,z_value,mom_12_1,rev_qoq_growth,rev_yoy_growth,eps_qoq_growth,eps_yoy_growth,z_rev_qoq_growth,z_rev_yoy_growth,z_eps_qoq_growth,z_eps_yoy_growth,earnings_yield,book_to_price,fcf_yield,z_earnings_yield,z_book_to_price,z_fcf_yield,mktcap,weight
ALL,0.5797469035069517,-0.6408406723972999,-0.25264090748683204,-0.021776340283640463,2.0136579582913274,0.08404711172966439,0.008088623175663834,0.05244156162036462,0.03010752688172036,1.0325318246110324,-0.10806379961125039,-0.3173887600959627,-0.06292998536462734,0.40127718393727857,0.1300119388521651,0.5137021838301757,0.16135202244494345,3.3869299675473243,0.7491997418517347,1.9048441654749237,55312289792,0.016795796638013498
CINF,0.5793890210869495,-0.6414439191389756,-0.07267153313583281,-0.21140790322267702,2.0222464996193583,0.1907176200250993,-0.17042404723564142,0.2178881008668243,-0.3966244725738397,0.67578125,-1.481193026077331,0.7103707088831264,-0.3239597645721053,0.24915046887560177,0.0915841577357612,0.6181297199612754,0.2381546658004897,1.8742617106625434,1.135202292089612,3.05727549610592,25787863040,0.01679278040430512
TFC,0.5790377677932187,-0.6420359918229164,0.016653887498379826,-0.11376980568633763,1.8342292215676137,0.24366211714921282,0.011374590321958644,0.03675889328063242,0.09000000000000008,0.25287356321839094,-0.08278796056078601,-0.4148100235350723,-0.026294066206466186,0.06881282755697402,0.07886004337460106,0.9319149463594417,,1.37339063947591,2.2950678036593177,,63826382848,0.016789820040885417
EXE,0.5726650347156826,-0.6527778730937777,-0.23109516367999752,0.8022973297581528,1.1467929380688926,0.0968175925504502,0.12571621166161107,0.6708354177088545,0.00877192982456143,-2.337209302325581,0.7967340459233608,3.524094682520306,-0.07598086084665195,-1.0356585485644036,0.07860850989001177,0.8063447072017226,0.050798362828065366,1.3634892944950667,1.830914053177172,0.24597546653443894,23150352384,0.01673611063453111
EIX,0.5688057978668442,-0.6592830041767798,0.0659288808669102,0.39200783314293847,1.2484806795906838,0.2728681340497552,-0.09339130434782605,0.30848393574297184,1.4269662921348316,,-0.8886529536533874,1.2731550836310501,0.7915213694511526,,0.1300119388521651,0.6476002783126956,-0.024615977251122738,3.3869299675473243,1.2441363060675072,-0.8856242348427807,26385303552,0.0167035849791161
HPE,0.5659298148221508,-0.664130762277932,0.5986866888934735,0.22411634699427127,0.8749864085787076,0.5886415615314722,-0.039053621241863845,0.18423733129615472,1.8181818181818183,-0.2954545454545454,-0.47068452262080973,0.5013309959812493,1.0308259037182552,-0.16500698910160957,,0.6513626833016012,0.06718971082717605,,1.2580435375751244,0.4919292795822906,37974564864,0.01667934618861034
DELL,0.5584117956723896,-0.6768031381826229,1.0986673957849165,0.9671697837968962,-0.39060179256464395,0.8849875166938426,0.23603036474726902,0.39480172161631355,0.47807017543859676,0.5674418604651164,1.6452765462722734,1.8093640740196766,0.21108647319761786,0.20295204169801712,0.04023520697292231,-0.017538662666448487,0.047047324679764274,-0.1470344866900743,-1.214461655663096,0.1896907646592386,140427755520,0.01661598430908688
CTRA,0.557095232927796,-0.6790223368397763,0.37135040362292987,0.6068028956619208,0.6931323994985372,0.4538959850062725,0.07815079801871216,0.4043010752688172,0.2142857142857144,0.2749999999999999,0.43085828208247334,1.8683743785567697,0.0497308688816798,0.0782480531267605,0.06652807095405046,0.5798634305648334,0.047580116617295796,0.887955813852256,0.9937560237737176,0.19768536086963817,25567401984,0.016604888315801116
VLO,0.5566735501101265,-0.679733125555741,1.720068888405257,-0.006284808581829171,-0.0437634294930482,1.2533013662718036,-0.055831882616264594,-0.012485368708544664,0.056657223796034106,3.2386363636363633,-0.5997438269793959,-0.7207170360526931,-0.04668967169607037,1.3420113004008427,0.031773346737449214,0.3331122800243092,0.052210393680098846,-0.4801265102347727,0.0816730913257192,0.2671631304299089,71242997760,0.016601334372221294
BBY,0.5523362599111358,-0.6870440635454492,-0.3746649492357204,1.4141724235002107,0.617501305468917,0.011721658554330716,0.42824648469809756,-0.009607112130771478,2.878787878787879,3.7407407407407405,3.123813456253299,-0.7028372093399017,1.6795932007087033,1.5561202463787427,0.08503458484117368,0.23915978384738737,0.06783880199589844,1.6164448207467657,-0.2656098617066837,0.5016689573666693,12419145728,0.016564779682272754
